SNAPSHOT 36: [77.0, 44.0, 78.0, 40.0]: 8589934592, cpu_percents(2208526336) 6381408256, 4292988928, sdiskio(read_count=14824269, write_count=2529945, read_bytes=217991065600, write_bytes=68860559360, read_time=3451183, write_time=603114), snetio(bytes_sent=447819205, bytes_recv=6863980283, packets_sent=3012776, packets_recv=6739647, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 37: [75.0, 37.6, 74.0, 35.0]: 8589934592, cpu_percents(2217758720) 6372175872, 4283936768, sdiskio(read_count=14824526, write_count=2530017, read_bytes=217992401920, write_bytes=68860940288, read_time=3451226, write_time=603118), snetio(bytes_sent=447824224, bytes_recv=6863988006, packets_sent=3012825, packets_recv=6739718, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 38: [74.3, 54.5, 74.3, 54.0]: 8589934592, cpu_percents(2093772800) 6496153600, 4278517760, sdiskio(read_count=14827719, write_count=2530030, read_bytes=218072916992, write_bytes=68861005824, read_time=3453245, write_time=603121), snetio(bytes_sent=447834904, bytes_recv=6864141722, packets_sent=3012916, packets_recv=6739859, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 39: [73.7, 31.0, 72.3, 27.0]: 8589934592, cpu_percents(2167357440) 6422577152, 4317388800, sdiskio(read_count=14828089, write_count=2530721, read_bytes=218081838080, write_bytes=68918538240, read_time=3453349, write_time=603211), snetio(bytes_sent=447932208, bytes_recv=6864345743, packets_sent=3013372, packets_recv=6740375, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 40: [58.0, 24.5, 54.0, 22.2]: 8589934592, cpu_percents(2124574720) 6465359872, 4370206720, sdiskio(read_count=14828574, write_count=2530730, read_bytes=218084660224, write_bytes=68918595584, read_time=3453418, write_time=603213), snetio(bytes_sent=447941367, bytes_recv=6864353741, packets_sent=3013422, packets_recv=6740432, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 41: [41.0, 17.0, 38.6, 16.2]: 8589934592, cpu_percents(2190938112) 6398996480, 4303765504, sdiskio(read_count=14828600, write_count=2530741, read_bytes=218085368832, write_bytes=68919181312, read_time=3453426, write_time=603224), snetio(bytes_sent=447942601, bytes_recv=6864358033, packets_sent=3013433, packets_recv=6740458, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 42: [17.2, 7.9, 15.8, 4.0]: 8589934592, cpu_percents(2247475200) 6342459392, 4226891776, sdiskio(read_count=14831151, write_count=2530914, read_bytes=218155090944, write_bytes=68920221696, read_time=3454853, write_time=603235), snetio(bytes_sent=447944216, bytes_recv=6864362368, packets_sent=3013450, packets_recv=6740481, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 43: [38.2, 16.0, 34.3, 12.0]: 8589934592, cpu_percents(2200977408) 6388957184, 4276326400, sdiskio(read_count=14831290, write_count=2530925, read_bytes=218156643328, write_bytes=68920295424, read_time=3454879, write_time=603239), snetio(bytes_sent=447973001, bytes_recv=6864394404, packets_sent=3013624, packets_recv=6740665, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 44: [48.5, 22.8, 45.0, 17.0]: 8589934592, cpu_percents(2244157440) 6345777152, 4235075584, sdiskio(read_count=14831299, write_count=2531100, read_bytes=218157220864, write_bytes=68922347520, read_time=3454890, write_time=603254), snetio(bytes_sent=447974029, bytes_recv=6864396424, packets_sent=3013635, packets_recv=6740681, errin=0, errout=0, dropin=0, dropout=0)
SNAPSHOT 45: [25.7, 10.9, 24.8, 7.9]: 8589934592, cpu_percents(2196410368) 6393524224, 4283371520, sdiskio(read_count=14831299, write_count=2531107, read_bytes=218157220864, write_bytes=68922634240, read_time=3454890, write_time=603261), snetio(bytes_sent=447977802, bytes_recv=6864397637, packets_sent=3013643, packets_recv=6740692, errin=0, errout=0, dropin=0, dropout=0)
